UFNUMB,CommonName,Family,scientific_name,Genus,Species,Subspecies,Preparations,Country,State,County,Latitude1,Longitude1,image
8772,,PYCNONOTIDAE,Pycnonotus brunneus,PYCNONOTUS,BRUNNEUS,BRUNNEUS,STUDY - 1,MALAYSIA,,,NA,NA,NA
8773,,PYCNONOTIDAE,Pycnonotus plumosus,PYCNONOTUS,PLUMOSUS,,STUDY - 1,MALAYSIA,SARAWAK,,NA,NA,NA
8774,,PYCNONOTIDAE,Pycnonotus plumosus,PYCNONOTUS,PLUMOSUS,,STUDY - 1,MALAYSIA,SARAWAK,,NA,NA,NA
8775,,PYCNONOTIDAE,Pycnonotus atriceps,PYCNONOTUS,ATRICEPS,ATRICEPS,STUDY - 1,MALAYSIA,SARAWAK,,NA,NA,NA
8776,,PYCNONOTIDAE,Pycnonotus goiavier,PYCNONOTUS,GOIAVIER,GOURDINI,STUDY - 1,MALAYSIA,SARAWAK,,NA,NA,NA
8777,,PYCNONOTIDAE,Pycnonotus goiavier,PYCNONOTUS,GOIAVIER,GOURDINI,STUDY - 1,MALAYSIA,SARAWAK,,NA,NA,NA
8778,Straw-headed Bulbul,PYCNONOTIDAE,Pycnonotus zeylanicus,PYCNONOTUS,ZEYLANICUS,,STUDY - 1,MALAYSIA,SARAWAK,,NA,NA,NA
8779,,PYCNONOTIDAE,Ixos philippinus,IXOS,PHILIPPINUS,SATURATIOR,STUDY - 1,PHILIPPINES,BUKIDNON PROVINCE,,NA,NA,NA
9543,,PYCNONOTIDAE,Pycnonotus plumosus,PYCNONOTUS,PLUMOSUS,,STUDY - 1,,,,NA,NA,NA
9544,Straw-headed Bulbul,PYCNONOTIDAE,Pycnonotus zeylanicus,PYCNONOTUS,ZEYLANICUS,,STUDY - 1,,,,NA,NA,NA
9545,Yellow-vented Bulbul,PYCNONOTIDAE,Pycnonotus goiavier,PYCNONOTUS,GOIAVIER,,STUDY - 1,,,,NA,NA,NA
9546,,PYCNONOTIDAE,Pycnonotus cafer,PYCNONOTUS,CAFER,BENGALENSIS,STUDY - 1,,,,NA,NA,NA
9547,Red-whiskered Bulbul,PYCNONOTIDAE,Pycnonotus jocosus,PYCNONOTUS,JOCOSUS,,STUDY - 1,,,,NA,NA,NA
9548,White-cheeked Bulbul,PYCNONOTIDAE,Pycnonotus leucogenys,PYCNONOTUS,LEUCOGENYS,,STUDY - 1,,,,NA,NA,NA
11016,Ashy Bulbul,PYCNONOTIDAE,Hypsipetes flavala,HYPSIPETES,FLAVALA,,STUDY - 1,INDIA,ASSAM,,NA,NA,NA
11017,,PYCNONOTIDAE,Pycnonotus goiavier,PYCNONOTUS,GOIAVIER,ANALIS,STUDY - 1,INDONESIA,JAWA,,NA,NA,NA
11424,,PYCNONOTIDAE,Pycnonotus blanfordi,PYCNONOTUS,BLANFORDI,CONRADI,STUDY - 1,THAILAND,UDORN PROVINCE,,NA,NA,NA
11425,,PYCNONOTIDAE,Pycnonotus blanfordi,PYCNONOTUS,BLANFORDI,CONRADI,STUDY - 1,THAILAND,UDORN PROVINCE,,NA,NA,NA
12302,,PYCNONOTIDAE,Pycnonotus goiavier,PYCNONOTUS,GOIAVIER,ANALIS,STUDY - 1,INDONESIA,JAWA,,NA,NA,NA
12303,,PYCNONOTIDAE,Pycnonotus barbatus,PYCNONOTUS,BARBATUS,TRICOLOR,STUDY - 1,ZAIRE,SHABA,,NA,NA,NA
13413,,PYCNONOTIDAE,Pycnonotus goiavier,PYCNONOTUS,GOIAVIER,JAMBU,STUDY - 1,VIETNAM,,,NA,NA,NA
15530,,PYCNONOTIDAE,Pycnonotus jocosus,PYCNONOTUS,JOCOSUS,MONTICOLA,STUDY - 1,CAPTIVE BIRD,,,NA,NA,NA
15650,Red-vented Bulbul,PYCNONOTIDAE,Pycnonotus cafer,PYCNONOTUS,CAFER,,STUDY - 1,INDIA,,,NA,NA,NA
15651,Light-vented Bulbul,PYCNONOTIDAE,Pycnonotus sinensis,PYCNONOTUS,SINENSIS,,STUDY - 1,,,,NA,NA,NA
34901,,PYCNONOTIDAE,Pycnonotus barbatus,PYCNONOTUS,BARBATUS,DODSONI,STUDY - 1,KENYA,RIFT VALLEY PROVINCE,TURKANA DISTRICT,2.5833333,36.4166667,NA
34902,,PYCNONOTIDAE,Pycnonotus barbatus,PYCNONOTUS,BARBATUS,DODSONI,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
34903,,PYCNONOTIDAE,Pycnonotus barbatus,PYCNONOTUS,BARBATUS,TRICOLOR,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
34904,,PYCNONOTIDAE,Pycnonotus barbatus,PYCNONOTUS,BARBATUS,DODSONI,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,NA,NA,NA
34905,,PYCNONOTIDAE,Pycnonotus barbatus,PYCNONOTUS,BARBATUS,DODSONI,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
34906,,PYCNONOTIDAE,Pycnonotus urostictus,PYCNONOTUS,UROSTICTUS,PHILIPPENSIS,STUDY - 1,PHILIPPINES,DAVAO ORIENTAL PROVINCE,,NA,NA,NA
34907,,PYCNONOTIDAE,Pycnonotus urostictus,PYCNONOTUS,UROSTICTUS,PHILIPPENSIS,STUDY - 1,PHILIPPINES,DAVAO ORIENTAL PROVINCE,,NA,NA,NA
34908,,PYCNONOTIDAE,Pycnonotus goiavier,PYCNONOTUS,GOIAVIER,GOIAVIER,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,NA,NA,NA
34909,,PYCNONOTIDAE,Pycnonotus goiavier,PYCNONOTUS,GOIAVIER,GOIAVIER,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,NA,NA,NA
34910,,PYCNONOTIDAE,Pycnonotus barbatus,PYCNONOTUS,BARBATUS,TRICOLOR,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,NA,NA,NA
34911,,PYCNONOTIDAE,Pycnonotus leucogenys,PYCNONOTUS,LEUCOGENYS,MESOPOTAMIAE,STUDY - 1,IRAQ,BAGHDAD,,NA,NA,NA
34912,,PYCNONOTIDAE,Hypsipetes madagascariensis,HYPSIPETES,MADAGASCARIENSIS,MADAGASCARIENSIS,STUDY - 1,MADAGASCAR,,,NA,NA,NA
35018,,PYCNONOTIDAE,Andropadus milanjensis,ANDROPADUS,MILANJENSIS,STRIIFACIES,STUDY - 1,KENYA,WESTERN PROVINCE,,NA,NA,NA
35019,,PYCNONOTIDAE,Chlorocichla flaviventris,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,,,NA,NA,NA
35020,,PYCNONOTIDAE,Ixos philippinus,IXOS,PHILIPPINUS,GUIMARASENSIS,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,NA,NA,NA
35021,,PYCNONOTIDAE,Ixos philippinus,IXOS,PHILIPPINUS,GUIMARASENSIS,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,NA,NA,NA
